Number,Name,Latitude,Longitude
42,Smithfield North,53.349562,-6.278198
30,Parnell Square North,53.353462,-6.265305
54,Clonmel Street,53.336021,-6.26298
108,Avondale Road,53.359405,-6.276142
56,Mount Street Lower,53.33796,-6.24153
6,Christchurch Place,53.343368,-6.27012
18,Grantham Street,53.334123,-6.265436
32,Pearse Street,53.344304,-6.250427
52,York Street East,53.338755,-6.262003
48,Excise Walk,53.347777,-6.244239
13,Fitzwilliam Square West,53.336074,-6.252825
43,Portobello Road,53.330091,-6.268044
81,St. James Hospital (Central),53.339983,-6.295594
31,Parnell Street,53.350929,-6.265125
98,Frederick Street South,53.341515,-6.256853
23,Custom House,53.348279,-6.254662
106,Rathdown Road,53.35893,-6.280337
112,North Circular Road (O'Connell's),53.357841,-6.251557
68,Hanover Quay,53.344115,-6.237153
74,Oliver Bond Street,53.343893,-6.280531
87,Collins Barracks Museum,53.347477,-6.28525
84,Brookfield Road,53.339005,-6.300217
90,Benson Street,53.344153,-6.233451
11,Earlsfort Terrace,53.334019,-6.258371
17,Golden Lane,53.340803,-6.267732
45,Deverell Place,53.351464,-6.255265
114,Wilton Terrace (Park),53.333653,-6.248345
72,John Street West,53.343105,-6.277167
63,Fenian Street,53.341428,-6.24672
113,Merrion Square South,53.338614,-6.248606
91,South Dock Road,53.341833,-6.231291
99,City Quay,53.346637,-6.246154
9,Exchequer Street,53.343034,-6.263578
67,The Point,53.346867,-6.230852
116,Broadstone,53.3547,-6.272314
55,Hatch Street,53.33403,-6.260714
62,Lime Street,53.346026,-6.243576
5,Charlemont Street,53.330662,-6.260177
97,Kilmainham Gaol,53.342113,-6.310015
61,Hardwicke Place,53.357043,-6.263232
77,Wolfe Tone Street,53.348875,-6.267459
73,Francis Street,53.342081,-6.275233
4,Greek Street,53.346874,-6.272976
49,Guild Street,53.347932,-6.240928
19,Herbert Place,53.334432,-6.245575
7,High Street,53.343565,-6.275071
102,Western Way,53.354929,-6.269425
38,Talbot Street,53.350974,-6.25294
53,Newman House,53.337132,-6.26059
58,Sir Patrick's Dun,53.339218,-6.240642
66,New Central Bank,53.347122,-6.234749
104,Grangegorman Lower (Central),53.355173,-6.278424
101,King Street North,53.350291,-6.273507
115,Killarney Street,53.354845,-6.247579
47,Herbert Street,53.335742,-6.24551
117,Hanover Quay East,53.343653,-6.231755
8,Custom House Quay,53.347884,-6.248048
27,Molesworth Street,53.341288,-6.258117
16,Georges Quay,53.347508,-6.252192
96,Kilmainham Lane,53.341805,-6.305085
82,Mount Brown,53.341645,-6.29719
76,Market Street South,53.342296,-6.287661
71,Kevin Street,53.337757,-6.267699
79,Eccles Street East,53.358115,-6.265601
69,Grand Canal Dock,53.342638,-6.238695
25,Merrion Square East,53.339434,-6.246548
51,York Street West,53.339334,-6.264699
37,St. Stephen's Green South,53.337494,-6.26199
59,Denmark Street Great,53.35561,-6.261397
95,Royal Hospital,53.343897,-6.29706
94,Heuston Station (Car Park),53.346985,-6.297804
105,Grangegorman Lower (North),53.355954,-6.278378
36,St. Stephen's Green East,53.337824,-6.256035
93,Heuston Station (Central),53.346603,-6.296924
22,Townsend Street,53.345922,-6.254614
50,George's Lane,53.35023,-6.279696
110,Phibsborough Road,53.356307,-6.273717
12,Eccles Street,53.359246,-6.269779
34,Portobello Harbour,53.330362,-6.265163
78,Mater Hospital,53.359967,-6.264828
2,Blessington Street,53.356769,-6.26814
75,James Street,53.343456,-6.287409
111,Mountjoy Square East,53.356717,-6.256359
26,Merrion Square West,53.339764,-6.251988
65,Convention Centre,53.34744,-6.238523
15,Hardwicke Street,53.355473,-6.264423
86,Parkgate Street,53.347972,-6.291804
10,Dame Street,53.344007,-6.266802
100,Heuston Bridge (South),53.347106,-6.292041
24,Cathal Brugha Street,53.352149,-6.260533
64,Sandwith Street,53.345203,-6.247163
109,Buckingham Street Lower,53.353331,-6.249319
85,Rothe Abbey,53.338776,-6.30395
107,Charleville Road,53.359157,-6.281866
33,Princes Street / O'Connell Street,53.349013,-6.260311
44,Upper Sherrard Street,53.358437,-6.260641
89,Fitzwilliam Square East,53.335211,-6.2509
57,Grattan Street,53.339629,-6.243778
80,St James Hospital (Luas),53.341359,-6.292951
41,Harcourt Terrace,53.332763,-6.257942
3,Bolton Street,53.351182,-6.269859
40,Jervis Street,53.3483,-6.266651
29,Ormond Quay Upper,53.346057,-6.268001
103,Grangegorman Lower (South),53.354663,-6.278681
28,Mountjoy Square West,53.356299,-6.258586
39,Wilton Terrace,53.332383,-6.252717
83,Emmet Road,53.340714,-6.308191
92,Heuston Bridge (North),53.347802,-6.292432
21,Leinster Street South,53.34218,-6.254485
88,Blackhall Place,53.3488,-6.281637
