day,usage
2018-10-04,66016.0
2018-10-05,66016.0
2018-10-06,42096.0
2018-10-07,32800.0
2018-10-08,64432.0
2018-10-09,71216.0
2018-10-10,70816.0
2018-10-11,69024.0
2018-10-12,61984.0
2018-10-13,29520.0
2018-10-14,39856.0
2018-10-15,63728.0
2018-10-16,69888.0
2018-10-17,68288.0
2018-10-18,69392.0
2018-10-19,67776.0
2018-10-20,40064.0
2018-10-21,34080.0
2018-10-22,66592.0
2018-10-23,67616.0
2018-10-24,69984.0
2018-10-25,69040.0
2018-10-26,60880.0
2018-10-27,37264.0
2018-10-28,35088.0
2018-10-29,35424.0
2018-10-30,61344.0
2018-10-31,61808.0
2018-11-01,64384.0
2018-11-02,59104.0
2018-11-03,34896.0
2018-11-04,32768.0
2018-11-05,60816.0
2018-11-06,59056.0
2018-11-07,59344.0
2018-11-08,65920.0
2018-11-09,54192.0
2018-11-10,39072.0
2018-11-11,34448.0
2018-11-12,63632.0
2018-11-13,62384.0
2018-11-14,66800.0
2018-11-15,67392.0
2018-11-16,66720.0
2018-11-17,41072.0
2018-11-18,33696.0
2018-11-19,62368.0
2018-11-20,54976.0
2018-11-21,48336.0
2018-11-22,64992.0
2018-11-23,64992.0
2018-11-24,37760.0
2018-11-25,31008.0
2018-11-26,62464.0
2018-11-27,50048.0
2018-11-28,59216.0
2018-11-29,60672.0
2018-11-30,61072.0
2018-12-01,34176.0
2018-12-02,30832.0
2018-12-03,60640.0
2018-12-04,62864.0
2018-12-05,59104.0
2018-12-06,67440.0
2018-12-07,59680.0
2018-12-08,32304.0
2018-12-09,31120.0
2018-12-10,59360.0
2018-12-11,62848.0
2018-12-12,61952.0
2018-12-13,60928.0
2018-12-14,58752.0
2018-12-15,25136.0
2018-12-16,35184.0
2018-12-17,60208.0
2018-12-18,61104.0
2018-12-19,64144.0
2018-12-20,62064.0
2018-12-21,51520.0
2018-12-22,36016.0
2018-12-23,23616.0
2018-12-24,33088.0
2018-12-25,12736.0
2018-12-26,20896.0
2018-12-27,32368.0
2018-12-28,34928.0
2018-12-29,29760.0
2018-12-30,29264.0
2018-12-31,33968.0
2019-01-01,18000.0
2019-01-02,48528.0
2019-01-03,54400.0
2019-01-04,55360.0
2019-01-05,35680.0
2019-01-06,33376.0
2019-01-07,59568.0
2019-01-08,61312.0
2019-01-09,62688.0
2019-01-10,62016.0
2019-01-11,58480.0
2019-01-12,37040.0
2019-01-13,30224.0
2019-01-14,59632.0
2019-01-15,61296.0
2019-01-16,62736.0
2019-01-17,63840.0
2019-01-18,59584.0
2019-01-19,37248.0
2019-01-20,29632.0
2019-01-21,56528.0
2019-01-22,60736.0
2019-01-23,62736.0
2019-01-24,57824.0
2019-01-25,63552.0
2019-01-26,33792.0
2019-01-27,29968.0
2019-01-28,60848.0
2019-01-29,60624.0
2019-01-30,61792.0
2019-01-31,53584.0
2019-02-01,59600.0
2019-02-02,34944.0
2019-02-03,31152.0
2019-02-04,59120.0
2019-02-05,58448.0
2019-02-06,62304.0
2019-02-07,62032.0
2019-02-08,56528.0
2019-02-09,35632.0
2019-02-10,28032.0
2019-02-11,59024.0
2019-02-12,62896.0
2019-02-13,67184.0
2019-02-14,68560.0
2019-02-15,60832.0
2019-02-16,38752.0
2019-02-17,35328.0
2019-02-18,60704.0
2019-02-19,62496.0
2019-02-20,66224.0
2019-02-21,70672.0
2019-02-22,65728.0
2019-02-23,44176.0
2019-02-24,36976.0
2019-02-25,61104.0
2019-02-26,66208.0
2019-02-27,66144.0
2019-02-28,65504.0
2019-03-01,60464.0
2019-03-02,38816.0
2019-03-03,18448.0
2019-03-04,58912.0
2019-03-05,60160.0
2019-03-06,67248.0
2019-03-07,65088.0
2019-03-08,30096.0
2019-03-09,38224.0
2019-03-10,29296.0
2019-03-11,60816.0
2019-03-12,62112.0
2019-03-13,62048.0
2019-03-14,60576.0
2019-03-15,57952.0
2019-03-16,30656.0
2019-03-17,26432.0
2019-03-18,28992.0
2019-03-19,60944.0
2019-03-20,68352.0
2019-03-21,68112.0
2019-03-22,62432.0
2019-03-23,39312.0
2019-03-24,34016.0
2019-03-25,64448.0
2019-03-26,67520.0
2019-03-27,66464.0
2019-03-28,67472.0
2019-03-29,65216.0
2019-03-30,42336.0
2019-03-31,33248.0
2019-04-01,61504.0
2019-04-02,60688.0
2019-04-03,57216.0
2019-04-04,55312.0
2019-04-05,59424.0
2019-04-06,39616.0
2019-04-07,34592.0
2019-04-08,52848.0
2019-04-09,65168.0
2019-04-10,62992.0
2019-04-11,66352.0
2019-04-12,62496.0
2019-04-13,39600.0
2019-04-14,33152.0
2019-04-15,51216.0
2019-04-16,61568.0
2019-04-17,65728.0
2019-04-18,65920.0
2019-04-19,50288.0
2019-04-20,41376.0
2019-04-21,35072.0
2019-04-22,34592.0
2019-04-23,59952.0
2019-04-24,56528.0
2019-04-25,58560.0
2019-04-26,55232.0
2019-04-27,34928.0
2019-04-28,35088.0
2019-04-29,59824.0
2019-04-30,64544.0
2019-05-01,69136.0
2019-05-02,66848.0
2019-05-03,65680.0
2019-05-04,42336.0
2019-05-05,31344.0
2019-05-06,35248.0
2019-05-07,63264.0
2019-05-08,56768.0
2019-05-09,58912.0
2019-05-10,64560.0
2019-05-11,42480.0
2019-05-12,37120.0
2019-05-13,63376.0
2019-05-14,69328.0
2019-05-15,68480.0
2019-05-16,68976.0
2019-05-17,62096.0
2019-05-18,41664.0
2019-05-19,38352.0
2019-05-20,66976.0
2019-05-21,68816.0
2019-05-22,68656.0
2019-05-23,69632.0
2019-05-24,71120.0
2019-05-25,46048.0
2019-05-26,39040.0
2019-05-27,58048.0
2019-05-28,67616.0
2019-05-29,62624.0
2019-05-30,67856.0
2019-05-31,68304.0
2019-06-01,43632.0
2019-06-02,34736.0
2019-06-03,34128.0
2019-06-04,39952.0
2019-06-05,61488.0
2019-06-06,65296.0
2019-06-07,67280.0
2019-06-08,44080.0
2019-06-09,35680.0
2019-06-10,66848.0
2019-06-11,67248.0
2019-06-12,17392.0
2019-06-13,68232.0
2019-06-14,67288.0
2019-06-15,44264.0
2019-06-16,39112.0
2019-06-17,65472.0
2019-06-18,68864.0
2019-06-19,44312.0
2019-06-20,69700.0
2019-06-21,67292.0
2019-06-22,44356.0
2019-06-23,40828.0
2019-06-24,64784.0
2019-06-25,69672.0
2019-06-26,57772.0
2019-06-27,70434.0
2019-06-28,67294.0
2019-06-29,44402.0
2019-06-30,41686.0
2019-07-01,64096.0
2019-07-02,70480.0
2019-07-03,71232.0
2019-07-04,71168.0
2019-07-05,67296.0
2019-07-06,44448.0
2019-07-07,42544.0
2019-07-08,66272.0
2019-07-09,72304.0
2019-07-10,66544.0
2019-07-11,71744.0
2019-07-12,68016.0
2019-07-13,46576.0
2019-07-14,46048.0
2019-07-15,67344.0
2019-07-16,72432.0
2019-07-17,66656.0
2019-07-18,71760.0
2019-07-19,67552.0
2019-07-20,49920.0
2019-07-21,35296.0
2019-07-22,67200.0
2019-07-23,70480.0
2019-07-24,70560.0
2019-07-25,69760.0
2019-07-26,70400.0
2019-07-27,48304.0
2019-07-28,43664.0
2019-07-29,63088.0
2019-07-30,62864.0
2019-07-31,71824.0
2019-08-01,70912.0
2019-08-02,67344.0
2019-08-03,41968.0
2019-08-04,34368.0
2019-08-05,38240.0
2019-08-06,62336.0
2019-08-07,72208.0
2019-08-08,73008.0
2019-08-09,62720.0
2019-08-10,44512.0
2019-08-11,39664.0
2019-08-12,61392.0
2019-08-13,66976.0
2019-08-14,69488.0
2019-08-15,68112.0
2019-08-16,65088.0
2019-08-17,44368.0
2019-08-18,38720.0
2019-08-19,64736.0
2019-08-20,63440.0
2019-08-21,67552.0
2019-08-22,70144.0
2019-08-23,73040.0
2019-08-24,46672.0
2019-08-25,44432.0
2019-08-26,69024.0
2019-08-27,67392.0
2019-08-28,69952.0
2019-08-29,71008.0
2019-08-30,67792.0
2019-08-31,45504.0
2019-09-01,36464.0
2019-09-02,60512.0
2019-09-03,66576.0
2019-09-04,70448.0
2019-09-05,70528.0
2019-09-06,69168.0
2019-09-07,46784.0
2019-09-08,35712.0
2019-09-09,65248.0
2019-09-10,71152.0
2019-09-11,67792.0
2019-09-12,73200.0
2019-09-13,70368.0
2019-09-14,47040.0
2019-09-15,27376.0
2019-09-16,63824.0
2019-09-17,65376.0
2019-09-18,71904.0
2019-09-19,75648.0
2019-09-20,72896.0
2019-09-21,43248.0
2019-09-22,31888.0
2019-09-23,61904.0
2019-09-24,70544.0
2019-09-25,71904.0
2019-09-26,70640.0
2019-09-27,66416.0
2019-09-28,37664.0
2019-09-29,36192.0
2019-09-30,49680.0
2019-10-01,101536.0
2019-10-02,72368.0
2019-10-03,64080.0
2019-10-04,62080.0
2019-10-05,34080.0
2019-10-06,35792.0
2019-10-07,66368.0
2019-10-08,69632.0
2019-10-09,69424.0
2019-10-10,67136.0
2019-10-11,69840.0
2019-10-12,40160.0
2019-10-13,33680.0
2019-10-14,60368.0
2019-10-15,66128.0
2019-10-16,73232.0
2019-10-17,67840.0
2019-10-18,65008.0
2019-10-19,38016.0
2019-10-20,36880.0
2019-10-21,63504.0
2019-10-22,65488.0
2019-10-23,68656.0
2019-10-24,70784.0
2019-10-25,51312.0
2019-10-26,41232.0
2019-10-27,36224.0
2019-10-28,34352.0
2019-10-29,61024.0
2019-10-30,63344.0
2019-10-31,58864.0
2019-11-01,59376.0
2019-11-02,32064.0
2019-11-03,34416.0
2019-11-04,49616.0
2019-11-05,64224.0
2019-11-06,64224.0
2019-11-07,45392.0
2019-11-08,66576.0
2019-11-09,32976.0
2019-11-10,29760.0
2019-11-11,62624.0
2019-11-12,63664.0
2019-11-13,56464.0
2019-11-14,61760.0
2019-11-15,61472.0
2019-11-16,38336.0
2019-11-17,33456.0
2019-11-18,53664.0
2019-11-19,56272.0
2019-11-20,59472.0
2019-11-21,55952.0
2019-11-22,51904.0
2019-11-23,33248.0
2019-11-24,31600.0
2019-11-25,58816.0
2019-11-26,56880.0
2019-11-27,63616.0
2019-11-28,63728.0
2019-11-29,62432.0
2019-11-30,37776.0
2019-12-01,30352.0
2019-12-02,61248.0
2019-12-03,64256.0
2019-12-04,65920.0
2019-12-05,63760.0
2019-12-06,49120.0
2019-12-07,36224.0
2019-12-08,25936.0
2019-12-09,416.0
2019-12-10,34480.0
2019-12-11,66912.0
2019-12-12,40496.0
2019-12-13,33024.0
2019-12-14,41200.0
2019-12-15,27648.0
2019-12-16,56160.0
2019-12-17,13840.0
2019-12-18,0.0
2019-12-19,0.0
2019-12-20,0.0
2019-12-21,0.0
2019-12-22,29456.0
2019-12-23,15440.0
2019-12-24,38432.0
2019-12-25,448.0
2019-12-26,0.0
2019-12-27,0.0
2019-12-28,0.0
2019-12-29,0.0
2019-12-30,36544.0
2019-12-31,11024.0
2020-01-01,33824.0
2020-01-02,0.0
2020-01-03,52816.0
2020-01-04,656.0
2020-01-05,30784.0
2020-01-06,272.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,51984.0
2020-01-14,34256.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,69904.0
2020-01-24,752.0
2020-01-25,36592.0
2020-01-26,0.0
2020-01-27,35824.0
2020-01-28,61312.0
2020-01-29,64224.0
2020-01-30,65184.0
2020-01-31,62592.0
2020-02-01,35312.0
2020-02-02,32496.0
2020-02-03,57920.0
2020-02-04,62336.0
2020-02-05,59632.0
2020-02-06,63008.0
2020-02-07,58848.0
2020-02-08,35360.0
2020-02-09,18720.0
2020-02-10,54064.0
2020-02-11,50048.0
2020-02-12,61344.0
2020-02-13,61696.0
2020-02-14,57856.0
2020-02-15,26000.0
2020-02-16,27872.0
2020-02-17,57152.0
2020-02-18,56016.0
2020-02-19,55456.0
2020-02-20,57680.0
2020-02-21,53072.0
2020-02-22,35632.0
2020-02-23,30192.0
2020-02-24,56976.0
2020-02-25,58000.0
2020-02-26,60832.0
2020-02-27,62944.0
2020-02-28,61360.0
2020-02-29,27344.0
2020-03-01,30512.0
2020-03-02,58240.0
2020-03-03,64816.0
2020-03-04,65888.0
2020-03-05,62096.0
2020-03-06,60288.0
2020-03-07,33216.0
2020-03-08,29936.0
2020-03-09,48304.0
2020-03-10,60400.0
2020-03-11,54928.0
2020-03-12,53664.0
2020-03-13,46320.0
2020-03-14,27840.0
2020-03-15,25552.0
2020-03-16,25696.0
2020-03-17,20416.0
2020-03-18,33392.0
2020-03-19,30064.0
2020-03-20,28672.0
2020-03-21,19232.0
2020-03-22,17808.0
2020-03-23,28368.0
2020-03-24,25328.0
2020-03-25,25600.0
2020-03-26,24576.0
2020-03-27,23136.0
2020-03-28,11968.0
2020-03-29,9296.0
2020-03-30,15120.0
2020-03-31,15472.0
2020-04-01,31040.0
2020-04-02,15584.0
2020-04-03,15648.0
2020-04-04,13776.0
2020-04-05,11888.0
2020-04-06,17152.0
2020-04-07,17232.0
2020-04-08,19584.0
2020-04-09,16640.0
2020-04-10,17520.0
2020-04-11,19024.0
2020-04-12,8160.0
2020-04-13,14096.0
2020-04-14,17600.0
2020-04-15,18880.0
2020-04-16,18336.0
2020-04-17,18672.0
2020-04-18,14912.0
2020-04-19,16048.0
2020-04-20,19824.0
2020-04-21,18064.0
2020-04-22,18928.0
2020-04-23,20144.0
2020-04-24,21072.0
2020-04-25,20304.0
2020-04-26,13824.0
2020-04-27,18112.0
2020-04-28,19952.0
2020-04-29,17856.0
2020-04-30,17008.0
2020-05-01,19312.0
2020-05-02,21216.0
2020-05-03,20752.0
2020-05-04,19680.0
2020-05-05,23616.0
2020-05-06,24352.0
2020-05-07,23328.0
2020-05-08,25680.0
2020-05-09,28368.0
2020-05-10,14976.0
2020-05-11,20432.0
2020-05-12,23024.0
2020-05-13,23600.0
2020-05-14,26880.0
2020-05-15,24960.0
2020-05-16,25536.0
2020-05-17,24608.0
2020-05-18,22208.0
2020-05-19,29664.0
